lid,title,new_title,url
cef8fdfbdae6b1796807ce8a827701f2,《公路水泥混凝土路面设计规范》,公路水泥混凝土路面设计规范,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=cef8fdfbdae6b1796807ce8a827701f2
1af533dde1670a9f4dfaee26d0a5fbd5,《渔业污染事故调查鉴定资格证书》,渔业污染事故调查鉴定资格证书,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=1af533dde1670a9f4dfaee26d0a5fbd5
d8547612fbef9b0c5f700e4a0204dcd4,《关于对钢铁产品进行保障措施调查的申请》,关于对钢铁产品进行保障措施调查的申请,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=d8547612fbef9b0c5f700e4a0204dcd4
f3054ecca4c1345ebd32b8c7e6a85355,《江苏省政府专职消防队伍管理办法》,江苏省政府专职消防队伍管理办法,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=f3054ecca4c1345ebd32b8c7e6a85355
786083c48e79712fd44e50f69c45d05f,《河北省科技兴冀省长特别奖暂行规定》,河北省科技兴冀省长特别奖暂行规定,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=786083c48e79712fd44e50f69c45d05f
c185ebd7e1d0f0914958f0686f72639b,《无船承运业务经营资格登记证》,无船承运业务经营资格登记证,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=c185ebd7e1d0f0914958f0686f72639b
4b67128e1ea42b181e05aa4d4567dcc4,《机动车辆类强制性认证实施规则汽车安全带产品》,机动车辆类强制性认证实施规则汽车安全带产品,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=4b67128e1ea42b181e05aa4d4567dcc4
f3595ab74e5fb5fd8c9b43eda9deaafc,《抚顺市人民政府关于修改〈抚顺市机动车停泊管理办法〉的决定》,抚顺市人民政府关于修改《抚顺市机动车停泊管理办法》的决定,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=f3595ab74e5fb5fd8c9b43eda9deaafc
e44b683495ad14bc9da227961a740462,《中国银行间市场金融衍生产品交易定义文件（2012年版）》,中国银行间市场金融衍生产品交易定义文件（2012年版）,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=e44b683495ad14bc9da227961a740462
14c011e8dddc4b21d608ca3ba60979f7,《2002年勘查许可证（探矿权）登记公告（第1号）》,2002年勘查许可证（探矿权）登记公告（第1号）,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=14c011e8dddc4b21d608ca3ba60979f7
