lid,title,content,url
7c0af6744545351c11454844a233bea5,国家环境保护总局关于印发《贯彻〈国务院关于酸雨控制区和二氧化硫污染控制区有关问题的批复〉的行动方案》和《酸雨控制区和二氧化硫污染控制区二氧化硫污染综合,国家环境保护总局关于印发《贯彻〈国务院关于酸雨控制区和二氧化硫污染控制区有关问题的批复〉的行动方案》和《酸雨控制区和二氧化硫污染控制区二氧化硫污染综合防治规划编制大纲》的通知（环发〔１９９８〕２７号１９９８年４月２４日）,http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=7c0af6744545351c11454844a233bea5
b1072b32d4aedef5084c9728388e7b25,机械工业部汽车工业司、公安部交通管理局关于改进《全国汽车、民用改装车和摩托车生产企业及产品目录》发布方式和公布《1997年全国汽车、民用改装车和摩托车,"['机械工业部汽车工业司、公安部交通管理局关于改进《全国汽车、民用改装车和摩托车生产企业及产品目录》发布方式和公布《１９９７年全国汽车、民用改装车和摩托车', '机械工业部汽车工业司、公安部交通管理局关于改进《全国汽车、民用改装车和摩托车生产企业及产品目录》发布方式和公布《１９９７全国汽车、民用改装车和摩托车生产企业及产品目录（第一期）》的通知（机汽产〔１９９７〕０７１号）', '各省、自治区、直辖市机械厅局（公司）、汽车办（公司），公安厅（局）、交通管理局处：']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=b1072b32d4aedef5084c9728388e7b25
c08e528e9e34d88214b16670ac3946ba,农业部等三部门关于履行《中华人民共和国政府和南非共和国政府关于动物检疫及动物卫生的合作协定》和《中华人民共和国政府和南非共和国政府关于植物检疫的合作协,"['农业部、对外贸易经济合作部、国家出入境检验检疫局关于履行《中华人民共和国政府和南非共和国政府关于动物检疫及动物卫生的合作协定》和《中华人民共和国政府和南非共和国政府关于植物检疫的合作协定》的通知（农农发〔２０００〕１９号）', '各省、自治区、直辖市农业（农牧）厅（委员会、局）、外经贸委（厅、局）、各直属出入境检验检疫局：', '我国与南非两国政府于２０００年４月２５日在南非首都比勒陀利亚签署了《中华人民共和国政府和南非共和国政府关于动物检疫及动物卫生的合作协定》和《中华人民共和国政府和南非共和国政府关于植物检疫的合作协定》。上述协定从２０００年１１月１４日起生效。']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=c08e528e9e34d88214b16670ac3946ba
c3062c5d3193f9a408365c3880277159,上海证券交易所关于发布《上市公司日常信息披露工作备忘录》第十二号及相关分行业披露指引的通知（附：《上海证券交易所上市公司分行业经营性信息披露指引第一号——房地产》、《上海证券交易所上市公司分行业经营性信息披露指引第二号——石油和天燃气开采》、《上海证?,"['上海证券交易所关于发布《上市公司日常信息披露工作备忘录》第十二号及相关分行业披露指引的通知(附：《上海证券交易所上市公司分行业经营性信息披露指引第一号——房地产》、《上海证券交易所上市公司分行业经营性信息披露指引第二号——石油和天燃气开采》、《上海证?', '上海证券交易所关于发布《上市公司日常信息披露工作备忘录》第十二号及相关分行业披露指引的通知', '各上市公司：']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=c3062c5d3193f9a408365c3880277159
45dc7a2a0463eda0227a8b7f4a947b4b,马鞍山市人民政府办公室印发关于《马鞍山市中小微企业还贷应急周转资金管理办法》、《马鞍山市中小出口企业专项担保贷款风险补偿基金管理暂行办法》、《关于支持中小企业融资担保的实施意见》、《马鞍山市小额贷款担保基金管理暂行办法》、《马鞍山市小微企业贷款风险补,"['马鞍山市人民政府办公室印发关于金融支持经济结构调整和转型升级配套办法的通知（马政办〔2013〕94号）', '各县、区人民政府，市政府各部门、直属机构，有关单位：', '经市政府同意，现将《马鞍山市中小微企业还贷应急周转资金管理办法》、《马鞍山市中小出口企业专项担保贷款风险补偿基金管理暂行办法》、《关于支持中小企业融资担保的实施意见》、《马鞍山市小额贷款担保基金管理暂行办法》、《马鞍山市小微企业贷款风险补偿基金管理暂行办法》、《关于在全市开展“税融通”业务试点工作的实施意见》印发给你们，望认真贯彻执行。']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=45dc7a2a0463eda0227a8b7f4a947b4b
4657bc001f4c275c228b713ff36cd4c4,中共四川省委办公厅、四川省人民政府办公厅关于贯彻《县级以下党政领导干部任期经济责任审计暂行规定》和《国有企业及国有控股企业领导人员任期经济责任审计暂行,"['中共四川省委办公厅四川省人民政府办公厅关于贯彻《县级以下党政领导干部任期经济责任审计暂行规定》和《国有企业及国有控股企业领导人员任期经济责任审计暂行规定》的意见（二０００年四月二十五日川委办〔２０００〕３５号）', '《中共中央办公厅国务院办公厅关于印发〈县级以下党政领导干部任期经济责任审计暂行规定〉和〈国有企业及国有控股企业领导人员任期经济责任审计暂行规定〉的通知》（中办发〔１９９９〕２０号，以下简称两个《暂行规定》），对加强领导干部的管理和监督，正确评价领导干部的任期经济责任，促进领导干部勤政廉政、忠实履行职责有着极为重要的意义。为认真贯彻落实两个《暂行规定》，建立和完善我省的领导干部任期经济责任审计制度，经省委、省政府领导同意，结合我省实际特提出以下意见，请与两个《暂行规定》一并贯彻执行。', '一、各级党委、政府要切实加强对领导干部任期经济责任审计工作的领导，把对县级以下党政机关党政正职和国有及国有控股企业领导人任期经济责任审计工作纳入议事日程，建立由各级纪检、组织、监察、人事、审计部门参加的领导干部任期经济责任审计工作联席会议制度（各级联席会议办公室设在审计机关），统一组织，合理计划，加强协作。适时召开任期经济责任审计工作联席会议，及时解决领导干部任期经济责任审计中出现的问题；各级纪检、组织、监察、人事部门要加强对下级部门的指导，促进领导干部任期经济责任审计工作的顺利开展。']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=4657bc001f4c275c228b713ff36cd4c4
304da2a292b569e3613c9047d3756c1a,上海市教育委员会关于中国地质大学（武汉）申请在上海市设立现代远程教育校外学习中心的复函中国地质大学（武汉）：你校《中国地质大学（武汉）关于在上海市建立网络教育学院上海学习中心的请示函》（地大函字〔2007〕39号）收悉。根据教育部办公厅《关于印发〈关于现代远程教育校外学习中心（点）暂行管理办法〉的通知,"['上海市教育委员会文件', '上海市教育委员会关于中国地质大学（武汉）申请在上海市设立现代远程教育校外学习中心的复函', '中国地质大学（武汉）：']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=304da2a292b569e3613c9047d3756c1a
2d525cc29a8b0b8f16cf59e578d9107a,江苏省财政厅、经贸委关于印发《江苏省工业经济新增长点扶持资金管理办法》和《江苏省工业企业增效扶持资金,"['江苏省经济贸易委员会', '江苏省财政厅', '关于印发《江苏省工业经济新增长点扶持资金管理办法》和《江苏省工业企业增效扶持资金管理办法》的通知']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=2d525cc29a8b0b8f16cf59e578d9107a
f5e17a4be0861e40fb7f518f5013ccae,转发市建设局《关于市区集体土地拆迁安置房建设管理的意见》《关于实行房屋拆...,"['镇江市人民政府办公室文件', '转发市建设局《关于市区集体土地拆迁安置房建设管理的意见》《关于实行房屋拆迁工作属地负责制的意见》的通知', '各辖市、区人民政府，镇江新区管委会，市各委办局，各直属单位、企事业单位：']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=f5e17a4be0861e40fb7f518f5013ccae
803bbd12b52caf54767dc48463a2f67d,四川省人民政府办公厅关于印发《四川省动物检疫员和动物防疫监督员管理办法》、《四川省动物防疫合格证管理办法》、《四川省动物诊疗许可证管理办法》、《四川省,"['四川省人民政府办公厅关于印发《四川省动物检疫员和动物防疫监督员管理办法》等四个办法的通知（二００一年三月二十七日川办发〔２００１〕２０号）', '《四川省动物检疫员和动物防疫监督员管理办法》、《四川省动物防疫合格证管理办法》、《四川省动物诊疗许可证管理办法》、《四川省动物动物产品申报检疫办法》已经省政府同意，现印发你们，请遵照执行。', '四川省动物检疫员和动物防疫监督员管理办法']",http://yjs.alphalawyer.cn/#/app/law-statute-manage?id=803bbd12b52caf54767dc48463a2f67d
